policy_number,policyholder_name,policyholder_dob,license_number,address,vehicle_make,vehicle_model,vehicle_year,vin,insurance_company,coverage_start,coverage_end,coverage_type,premium_amount,payment_frequency,civil_liability_coverage,dcpd,bodily_injury_compensation,uninsured_motorist_protection,claim_date,claim_type,claim_amount_paid,fault_determination,insurance_adjuster,damage_type,repair_cost,repair_garage
QC-33558737,Rachael Castillo,1946-10-13,Q5334475,"17027 Phillips Extension, Rhondaside, QC M2Y 4T1",Chevrolet,Malibu,2014,29e9f35b-9c82-484,Québec Auto Insurance Corp,2023-12-21,2020-03-28,All,1001.69,Annually,50000,True,Covered by SAAQ,True,2020-07-16,Collision,10854.34,Not-At-Fault,Donald Stevenson,Front bumper dent,811.58,Osborne and Sons
QC-75904705,Timothy Duran,1946-12-14,Q2977874,"356 Anthony Throughway, South Angelaville, NU H7L8C1",Honda,Camry,2007,d12d8358-9e5f-4a2,Québec Auto Insurance Corp,2021-02-26,2022-03-26,Comprehensive,680.38,Monthly,50000,True,Covered by SAAQ,True,2023-11-18,Collision,3339.81,No Claim,Dwayne Rodriguez,None,1560.48,"Reese, Weeks and Myers"
QC-17368417,Heather Ryan,1982-03-10,Q1099305,"78185 Koch Flats Apt. 101, Lake Marcus, ON G7A6L1",Chevrolet,X5,2015,eacd6c24-277b-4b7,Desjardins,2024-08-29,2021-02-17,Comprehensive,913.64,Quarterly,50000,True,Covered by SAAQ,True,2024-09-02,Fire,6795.2,No Claim,Larry Ray,None,4554.67,Franco-Bradley
QC-19181070,Mark Young,1995-01-01,Q3947565,"6342 Yang Groves Suite 187, Port Teresa, NL B6S7Y8",BMW,F-150,2023,eeb2dc32-8555-4a1,Québec Auto Insurance Corp,2023-08-30,2023-01-25,Comprehensive,1994.69,Annually,50000,True,Covered by SAAQ,True,2022-12-02,Collision,7490.71,No Claim,Pamela Rodriguez,Windshield crack,593.99,"Leon, Matthews and Roberts"
QC-82485686,Erin Massey,2001-03-25,Q3356652,"935 Shelby Brooks, New Matthewborough, SK L1P1X8",Ford,X5,2023,42165716-0ac4-426,Desjardins,2021-05-25,2024-04-10,Comprehensive,2315.36,Annually,50000,False,Covered by SAAQ,True,2021-05-05,Theft,3525.37,Not-At-Fault,Candace Hernandez,Windshield crack,2142.27,"Hicks, Alexander and Smith"
QC-21196898,Bryan Robinson,1958-01-05,Q9284506,"9444 Stephens Harbor Suite 445, Richardsonburgh, PE P5J 2T5",Ford,Civic,2021,99bbaeaf-5099-486,Intact Insurance,2021-01-31,2021-09-23,Collision,1913.52,Annually,50000,True,Covered by SAAQ,True,2021-12-07,None,14427.93,No Claim,Shawn Anderson,None,2131.72,"Leblanc, Anderson and Jefferson"
QC-61640349,Michael Washington,1976-10-30,Q8158285,"043 Martinez Villages Apt. 886, Mariatown, NU H3E 1S4",Chevrolet,Civic,2010,19be2ae2-47cb-4e5,Québec Auto Insurance Corp,2024-06-17,2021-12-31,Liability,2138.54,Annually,50000,True,Covered by SAAQ,True,2022-04-11,None,11570.34,At-Fault,Brittany Phillips,Front bumper dent,790.39,Smith-Jones
QC-18601130,Chase Johnston,1950-02-03,Q2120958,"644 Casey Court, Port Brittneyview, NS H4B8C7",Ford,Camry,2024,4c7d2eec-5d26-45d,Desjardins,2023-01-23,2022-06-11,All,640.69,Monthly,50000,False,Covered by SAAQ,True,2021-06-21,Theft,12725.69,Not-At-Fault,Joan Bryant,Total loss,688.83,Bell-Clark
QC-14809104,Christopher Williams,1971-11-12,Q3829318,"9045 Crawford Ramp, West Karenburgh, PE K6J 9R7",Toyota,Civic,2008,d9ae861e-a6ee-41b,Desjardins,2024-04-23,2021-09-18,Liability,545.65,Quarterly,50000,False,Covered by SAAQ,True,2021-05-06,Theft,3194.64,At-Fault,Jeffrey Jacobson,Front bumper dent,1060.09,Small-Smith
QC-56159436,Sandra Farmer,1997-08-23,Q3332304,"040 Bowman Squares Apt. 870, Cruzport, PE B6L 5Y1",Ford,Malibu,2023,34f372df-7291-459,Desjardins,2024-07-26,2022-02-19,All,1992.97,Monthly,50000,True,Covered by SAAQ,True,2022-10-17,Theft,8533.24,No Claim,Lindsey Vaughn,None,3130.72,Bryant-Johnson
