question,context
What is the policy number associated with this policyholder?,"{""policy_number"":""QC-45767949"",""policyholder_name"":""Tammy Arellano"",""policyholder_dob"":""1985-12-04"",""license_number"":""Q2924295"",""address"":""95437 Simon Trail Apt. 537, East Angela, NS H8K 8N4"",""vehicle_make"":""Chevrolet"",""vehicle_model"":""F-150"",""vehicle_year"":2012,""vin"":""866e4f43-85db-433"",""insurance_company"":""Intact Insurance"",""coverage_start"":""2023-05-04"",""coverage_end"":""2025-02-05"",""coverage_type"":""Comprehensive"",""premium_amount"":1396.33,""payment_frequency"":""Quarterly"",""civil_liability_coverage"":50000,""dcpd"":false,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2020-12-22"",""claim_type"":""Collision"",""claim_amount_paid"":784.78,""fault_determination"":""Not-At-Fault"",""insurance_adjuster"":""Jessica Rodriguez"",""damage_type"":""Front bumper dent"",""repair_cost"":1375.26,""repair_garage"":""Gibson Ltd""}"
Which insurance company is covering this vehicle?,"{""policy_number"":""QC-25394574"",""policyholder_name"":""Stephen Hawkins"",""policyholder_dob"":""1959-12-01"",""license_number"":""Q2297406"",""address"":""921 Michael Loop Suite 448, Cannonchester, SK Y4H 2J4"",""vehicle_make"":""Toyota"",""vehicle_model"":""F-150"",""vehicle_year"":2009,""vin"":""f3ba477f-0dc8-4c1"",""insurance_company"":""Desjardins"",""coverage_start"":""2020-11-28"",""coverage_end"":""2023-06-07"",""coverage_type"":""All"",""premium_amount"":2122.94,""payment_frequency"":""Annually"",""civil_liability_coverage"":50000,""dcpd"":true,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2022-04-16"",""claim_type"":""Vandalism"",""claim_amount_paid"":3572.01,""fault_determination"":""At-Fault"",""insurance_adjuster"":""Julie Singh"",""damage_type"":""Windshield crack"",""repair_cost"":3339.01,""repair_garage"":""Diaz-Thomas""}"
What is the make and model of the insured vehicle?,"{""policy_number"":""QC-87812531"",""policyholder_name"":""Larry Myers"",""policyholder_dob"":""2003-05-17"",""license_number"":""Q3186656"",""address"":""2818 Amanda Summit Suite 937, Port Ryan, ON T3G7V2"",""vehicle_make"":""Chevrolet"",""vehicle_model"":""F-150"",""vehicle_year"":2023,""vin"":""34047061-ee11-475"",""insurance_company"":""Intact Insurance"",""coverage_start"":""2022-04-16"",""coverage_end"":""2023-03-14"",""coverage_type"":""All"",""premium_amount"":2016.0,""payment_frequency"":""Monthly"",""civil_liability_coverage"":50000,""dcpd"":true,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2021-05-09"",""claim_type"":""Collision"",""claim_amount_paid"":13936.71,""fault_determination"":""At-Fault"",""insurance_adjuster"":""Christopher Johnson"",""damage_type"":""Front bumper dent"",""repair_cost"":2988.98,""repair_garage"":""Horton Inc""}"
What year was the insured vehicle manufactured?,"{""policy_number"":""QC-69622469"",""policyholder_name"":""Anthony Wood"",""policyholder_dob"":""1979-01-08"",""license_number"":""Q5752178"",""address"":""137 Christopher Grove, West Bryan, NT E3N 3G2"",""vehicle_make"":""Chevrolet"",""vehicle_model"":""Camry"",""vehicle_year"":2009,""vin"":""e676ad9c-19d3-456"",""insurance_company"":""Intact Insurance"",""coverage_start"":""2020-12-23"",""coverage_end"":""2023-03-01"",""coverage_type"":""Liability"",""premium_amount"":2210.05,""payment_frequency"":""Annually"",""civil_liability_coverage"":50000,""dcpd"":false,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2020-07-16"",""claim_type"":""Theft"",""claim_amount_paid"":6536.16,""fault_determination"":""No Claim"",""insurance_adjuster"":""Clinton Avila"",""damage_type"":""None"",""repair_cost"":2699.44,""repair_garage"":""Diaz, Lee and Elliott""}"
What type of claim was filed for this insurance policy?,"{""policy_number"":""QC-38607587"",""policyholder_name"":""Brianna Williams"",""policyholder_dob"":""1950-05-18"",""license_number"":""Q9928981"",""address"":""601 Valentine Loop Apt. 436, Ashleyfurt, NL N8H 3B5"",""vehicle_make"":""Toyota"",""vehicle_model"":""F-150"",""vehicle_year"":2024,""vin"":""e698ef4d-5141-405"",""insurance_company"":""Qu\u00e9bec Auto Insurance Corp"",""coverage_start"":""2022-06-16"",""coverage_end"":""2022-09-06"",""coverage_type"":""Liability"",""premium_amount"":1861.39,""payment_frequency"":""Quarterly"",""civil_liability_coverage"":50000,""dcpd"":false,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2024-10-25"",""claim_type"":""Collision"",""claim_amount_paid"":7086.66,""fault_determination"":""Not-At-Fault"",""insurance_adjuster"":""Amanda Fischer"",""damage_type"":""Front bumper dent"",""repair_cost"":3143.29,""repair_garage"":""Smith PLC""}"
How much was paid out for this claim?,"{""policy_number"":""QC-64544128"",""policyholder_name"":""Rachael Payne"",""policyholder_dob"":""1996-12-01"",""license_number"":""Q1618622"",""address"":""239 Andrew Divide, Averybury, BC N6V 1S7"",""vehicle_make"":""Toyota"",""vehicle_model"":""Civic"",""vehicle_year"":2023,""vin"":""908b4e95-d167-433"",""insurance_company"":""Intact Insurance"",""coverage_start"":""2021-11-12"",""coverage_end"":""2021-07-14"",""coverage_type"":""All"",""premium_amount"":2369.05,""payment_frequency"":""Monthly"",""civil_liability_coverage"":50000,""dcpd"":true,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2020-10-09"",""claim_type"":""Vandalism"",""claim_amount_paid"":6116.42,""fault_determination"":""Not-At-Fault"",""insurance_adjuster"":""Hector Hawkins"",""damage_type"":""Windshield crack"",""repair_cost"":1663.24,""repair_garage"":""Rodriguez, Johnson and Rodriguez""}"
Was the policyholder found at fault for this claim?,"{""policy_number"":""QC-22697208"",""policyholder_name"":""Colton James"",""policyholder_dob"":""2001-04-30"",""license_number"":""Q2544281"",""address"":""3343 Gonzalez Falls, Lake Jessica, PE V2A 8A3"",""vehicle_make"":""BMW"",""vehicle_model"":""Camry"",""vehicle_year"":2014,""vin"":""99704c5d-8842-447"",""insurance_company"":""Qu\u00e9bec Auto Insurance Corp"",""coverage_start"":""2024-02-04"",""coverage_end"":""2022-11-03"",""coverage_type"":""Comprehensive"",""premium_amount"":2470.01,""payment_frequency"":""Quarterly"",""civil_liability_coverage"":50000,""dcpd"":true,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2021-06-25"",""claim_type"":""None"",""claim_amount_paid"":7449.89,""fault_determination"":""No Claim"",""insurance_adjuster"":""Lucas Ortiz"",""damage_type"":""Total loss"",""repair_cost"":4352.04,""repair_garage"":""Reeves Inc""}"
Who was the insurance adjuster for this claim?,"{""policy_number"":""QC-76683716"",""policyholder_name"":""Belinda Barnes"",""policyholder_dob"":""1955-10-11"",""license_number"":""Q9960460"",""address"":""6935 Paul Square, Caitlintown, BC B8Y1T8"",""vehicle_make"":""Ford"",""vehicle_model"":""X5"",""vehicle_year"":2020,""vin"":""99b78a48-b35d-4d5"",""insurance_company"":""Qu\u00e9bec Auto Insurance Corp"",""coverage_start"":""2022-10-23"",""coverage_end"":""2021-06-06"",""coverage_type"":""Collision"",""premium_amount"":1886.61,""payment_frequency"":""Monthly"",""civil_liability_coverage"":50000,""dcpd"":false,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2023-10-17"",""claim_type"":""Vandalism"",""claim_amount_paid"":166.72,""fault_determination"":""Not-At-Fault"",""insurance_adjuster"":""Thomas Sexton"",""damage_type"":""None"",""repair_cost"":1582.62,""repair_garage"":""Schroeder, Griffin and Carter""}"
What type of damage did the vehicle sustain?,"{""policy_number"":""QC-75138535"",""policyholder_name"":""Tyler Jones"",""policyholder_dob"":""1947-02-16"",""license_number"":""Q6482652"",""address"":""585 Joseph Points Suite 061, Brettmouth, NS S9M2M1"",""vehicle_make"":""BMW"",""vehicle_model"":""F-150"",""vehicle_year"":2024,""vin"":""4359d0da-a6ca-422"",""insurance_company"":""Desjardins"",""coverage_start"":""2021-03-28"",""coverage_end"":""2023-04-28"",""coverage_type"":""Collision"",""premium_amount"":1262.52,""payment_frequency"":""Quarterly"",""civil_liability_coverage"":50000,""dcpd"":false,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2020-01-04"",""claim_type"":""Vandalism"",""claim_amount_paid"":1729.34,""fault_determination"":""No Claim"",""insurance_adjuster"":""Joseph Pearson"",""damage_type"":""Front bumper dent"",""repair_cost"":1439.6,""repair_garage"":""Wilson-Murphy""}"
What was the estimated repair cost for this damage?,"{""policy_number"":""QC-33558737"",""policyholder_name"":""Rachael Castillo"",""policyholder_dob"":""1946-10-13"",""license_number"":""Q5334475"",""address"":""17027 Phillips Extension, Rhondaside, QC M2Y 4T1"",""vehicle_make"":""Chevrolet"",""vehicle_model"":""Malibu"",""vehicle_year"":2014,""vin"":""29e9f35b-9c82-484"",""insurance_company"":""Qu\u00e9bec Auto Insurance Corp"",""coverage_start"":""2023-12-21"",""coverage_end"":""2020-03-28"",""coverage_type"":""All"",""premium_amount"":1001.69,""payment_frequency"":""Annually"",""civil_liability_coverage"":50000,""dcpd"":true,""bodily_injury_compensation"":""Covered by SAAQ"",""uninsured_motorist_protection"":true,""claim_date"":""2020-07-16"",""claim_type"":""Collision"",""claim_amount_paid"":10854.34,""fault_determination"":""Not-At-Fault"",""insurance_adjuster"":""Donald Stevenson"",""damage_type"":""Front bumper dent"",""repair_cost"":811.58,""repair_garage"":""Osborne and Sons""}"
